district,crop,season,sowing_date,harvest_date,season_total_rainfall_mm,season_avg_temp_c,season_avg_humidity,soil_pH,soil_N_kg_ha,soil_P_kg_ha,soil_K_kg_ha,organic_carbon_pct,soil_moisture_pct,yield_kg_per_ha,harvest_days,fertilizer_N_kg_ha,fertilizer_P_kg_ha,fertilizer_K_kg_ha
Angul,Cotton,Rabi,2023-11-15,2024-03-15,570,26.03,61.41,6.97,224,31,161,0.79,33.21,3394,121,82,59,26
Angul,Sugarcane,Rabi,2024-11-15,2025-03-15,299,22.01,69.35,6.68,278,26,218,0.89,19.05,3007,120,52,37,53
Angul,Pulses,Kharif,2017-06-15,2017-10-30,1112,34.91,82.29,6.42,319,22,179,0.72,30.77,2530,137,46,57,49
Angul,Mustard,Kharif,2015-06-15,2015-10-30,1087,28.56,62.95,6.31,207,41,262,0.97,18.74,5219,137,89,34,41
Angul,Sugarcane,Rabi,2024-11-15,2025-03-15,554,25.31,65.89,6.26,372,34,268,0.75,27.39,4244,120,94,32,27
Angul,Pulses,Rabi,2018-11-15,2019-03-15,416,27.36,48.41,5.62,258,54,292,0.77,20.43,5540,120,72,50,57
Angul,Pulses,Summer,2020-03-20,2020-06-10,334,21.43,52.81,6.74,300,47,242,1.02,31.77,2006,82,98,37,55
Angul,Sugarcane,Kharif,2017-06-15,2017-10-30,894,29.81,83.54,6.24,229,29,188,0.74,22.73,3064,137,50,32,21
Angul,Vegetables,Kharif,2016-06-15,2016-10-30,1578,28.92,69.85,6.12,290,25,167,0.84,29.75,4710,137,78,44,35
Angul,Sugarcane,Kharif,2021-06-15,2021-10-30,1303,23.23,80.05,7.25,256,32,280,1.04,24.77,4067,137,61,61,59
Angul,Mustard,Rabi,2022-11-15,2023-03-15,227,20.35,65.37,5.58,354,36,248,0.85,21.74,5323,120,91,66,25
Angul,Groundnut,Rabi,2021-11-15,2022-03-15,483,17.43,61.25,5.9,375,44,242,0.84,26.83,5349,120,62,72,22
Angul,Sugarcane,Rabi,2017-11-15,2018-03-15,350,16.63,63.86,5.66,333,28,258,1.2,19.67,4246,120,54,47,35
Angul,Sugarcane,Rabi,2015-11-15,2016-03-15,224,17.05,66.98,7.3,236,47,233,0.73,34.14,3966,121,76,44,40
Angul,Sugarcane,Rabi,2021-11-15,2022-03-15,408,24.98,44.57,6.58,225,58,237,1.02,33.43,3395,120,65,64,51
Angul,Sugarcane,Summer,2024-03-20,2024-06-10,590,25.59,56.85,5.6,213,50,240,0.78,32.84,5232,82,54,62,24
Angul,Sugarcane,Rabi,2018-11-15,2019-03-15,233,27.66,47.81,7.48,364,46,160,0.73,28.93,2130,120,58,37,54
Angul,Pulses,Summer,2022-03-20,2022-06-10,400,15.11,49.87,6.42,290,38,248,1.1,30.95,4632,82,69,74,35
Angul,Vegetables,Rabi,2018-11-15,2019-03-15,334,17.01,63.54,6.76,344,30,272,0.75,20.21,4992,120,85,50,25
Angul,Maize,Summer,2015-03-20,2015-06-10,387,26.32,41.28,7.35,234,43,212,0.51,15.81,2199,82,73,48,60
